Job Title,Count
Say Business Data Analyst,2
Geospatial Data Scientist,2
Computational Scientist,2
Senior Data Analyst,2
Sr Data Analyst,2
"Machine Learning Scientist - Bay Area, CA",2
Senior Data Scientist - Algorithms,2
Senior Data & Machine Learning Scientist,1
Research Scientist - Patient-Centered Research (Remote),1
Jr. Business Data Analyst (position added 6/12/2020),1
Sr. Data Scientist II,1
Production Engineer - Statistics/Data Analysis,1
Statistical Scientist,1
Computational Behavioral Scientist,1
Principal Data Scientist - Machine Learning,1
Principal Machine Learning Scientist,1
Senior Data Scientist - R&D Oncology,1
"Health Plan Data Analyst, Sr",1
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",1
Analytics - Business Assurance Data Analyst,1
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",1
Data Science Instructor,1
Senior Business Intelligence Analyst,1
In-Line Inspection Data Analyst,1
Data Scientist - TS/SCI FSP or CI Required,1
Data Scientist - TS/SCI Required,1
Data Science Software Engineer,1
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,1
AI Ops Data Scientist,1
"Intelligence Data Analyst, Senior",1
Analytics Manager - Data Mart,1
Data Modeler (Analytical Systems),1
"Senior Machine Learning Scientist - Bay Area, CA",1
Report Writer-Data Analyst,1
Staff Data Scientist - Pricing,1
Equity Data Insights Analyst - Quantitative Analyst,1
Operations Data Analyst,1
Software Data Engineer,1
Real World Evidence (RWE) Scientist,1
Computer Scientist 1,1
Environmental Data Science,1
Staff BI and Data Engineer,1
"Data Scientist - Statistics, Mid-Career",1
Director of Data Science,1
"Data Engineer, Digital & Comp Pathology",1
"Manager / Lead, Data Science & Analytics",1
Diversity and Inclusion Data Analyst,1
Data Scientist Machine Learning,1
Chief Scientist,1
"Development Scientist, Voltaren",1
Principal Data & Analytics Platform Engineer,1
Machine Learning Engineer/Scientist,1
Data Analyst - Unilever Prestige,1
"VP, Data Science",1
Data Engineer - Kafka,1
Decision Scientist,1
Data Science All Star Program - Data Engineer Track,1
Scientist - Machine Learning,1
Sr. Data Scientist,1
Applied AI Scientist / Engineer,1
"Data Engineer (Analytics, SQL, Python, AWS)",1
Senior Data Analyst - Finance & Platform Analytics,1
Market Research Data Scientist,1
IT Partner Digital Health Technology and Data Science,1
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",1
Senior Clinical Data Scientist Programmer,1
Computer Vision / Deep Learning Scientist,1
Data Solutions Engineer - Data Modeler,1
Data Scientist (TS/SCI w/ Poly),1
Weapons and Sensors Engineer/Scientist,1
Applied Computer Scientist,1
Cloud Data Engineer (Azure),1
"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",1
Sr. Data Analyst,1
Senior Scientist - Toxicologist - Product Integrity (Stewardship),1
Senior Machine Learning Engineer,1
Data Scientist- Industrial Discrete Sector Industry,1
Senior Principal Data Scientist (Python/R),1
Data Scientist(s)/Machine Learning Engineer,1
"Scientist / Group Lead, Cancer Biology",1
"Manager, Field Application Scientist, Southeast",1
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,1
Machine Learning Scientist / Engineer,1
Data Science Analyst,1
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,1
Software Engineer - Machine Learning & Data Science (Applied Intelligence Services Team),1
Clinical Data Analyst,1
Data Scientist Technical Specialist,1
Data Science Manager,1
Big Data Engineer,1
Data Architect,1
Aviation AI/ML Data Scientist,1
"Machine Learning Engineer, Sr.",1
Information Systems Engineering Specialist (Engineering Scientist),1
Scientist/Research Associate-Metabolic Engineering,1
"Vice President, Biometrics and Clinical Data Management",1
Enterprise Data Analyst (Enterprise Portfolio Management Office),1
Lead Data Scientist – Network Analysis and Control,1
"Sr. Research Associate/ Scientist, NGS prep & Molecular Genomics",1
Developer III - Data Science,1
Hydrogen/Tritium Materials Scientist (Experienced),1
Data Scientist/Data Analytics Practitioner,1
"AI/ML - Machine Learning Scientist, Siri Understanding",1
